SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]C(C=C1)=CC=C1S[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Si]=O,60,10.1111_ffe.12363_part_1.txt_∂Œ1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=[Ti]=O,O=[Si]=O,,,112,10.1016_j.pnsc.2017.12.005_part_2.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],Cl[Ca]Cl,,55,10.1007_s12221-020-9445-3_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],O=C([*])CCCCCN[*],,,67,10.1016_j.compositesb.2021.108928_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1O[*])O)O)[*],OCC(O)CO,[H][Si]([H])([H])[H],,,100,10.1007_s10570-015-0643-x_part_4.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C=C([CH3])C(=O)O[CH3],N(CC)(CC)CC,,,65,10.4028_www.scientific.net_amr.535-537.1386_part_1.txt_∂Œ1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,100,10.1016_j.conbuildmat.2009.08.006_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[H][Si]([H])([H])[H],,,,102.3,10.1002_app.34069_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Cu],,,75,10.1002_pen.24855_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,,75,10.1177_096739111001800905_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CCN[*],O=[Si]=O,,,145,10.4172_2165-8064.1000366_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]CC[*],,115.9,10.1002_app.36633_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,,,49.77,10.1016_j.foodhyd.2015.12.005_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OCC[*],,,,70,10.1007_s10570-014-0231-5_part_2.txt_∂Œ1_Material1
[*]OCC[*],OCCCCO,,,,43.6,10.1016_j.porgcoat.2021.106148_part_1.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,,,,85,10.1016_j.compscitech.2010.04.020_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,65.1,10.1007_s10973-014-3849-5_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,25,10.5935_0103-5053.20150126_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],35,10.1002_app.38408_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[H][O-],[H][O-],,,70.7,10.1007_s10973-010-1027-y_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,,143.3,10.1016_j.polymertesting.2020.106408_part_2.txt_∂Œ1_Material1
C[Si](C)(C[*])O[*],O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,,,,56.96,10.1002_pc.22424_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,46.9,10.1002_app.41095_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,29.6,10.1007_s11998-020-00374-9_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]CC(C(OC)=O)(CC(C/C=C/CCC(C1=CC=CC=C1)[*])C#N)C,[*]C/C=C/CCC([*])C#N,O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,,89.9,10.1515_polyeng-2019-0192_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=C([O-])[O-].[Ca+2],,,,8.850000000000023,10.1007_s11998-020-00407-3_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,122.1,10.1002_vnl.21711_part_1.txt_∂Œ1_Material1
O=C(O)C([*])C[*],C[Si](C)(C[*])O[*],CCCCCCCCCCCCOS([O-])(=O)=O.[Na+],,,45,10.1016_j.porgcoat.2016.10.009_part_2.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,,,,,76,10.1016_j.eurpolymj.2021.110717_part_1.txt_∂Œ1_Material2
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,150,10.1016_j.compositesb.2016.03.032_part_2.txt_∂Œ1_Material1
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,100,10.1080_10601325.2014.967108_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,N(CC)(CC)CC,,,45,10.1016_j.polymer.2013.07.005_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,C(CC=O)CC=O,OCC(O)CO,,108,10.4028_www.scientific.net_amr.415-417.1626_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CCC1C([*])C2CCC1C2,C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],[*]OCC[*],80,10.1002_pc.23514_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(O)CO,,,,71.79,10.1016_j.fpsl.2018.10.003_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(C1=CC=CC=C1)[*],,,129.3,10.1007_s11665-015-1743-3_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C[Si](O[*])(C)[*],[H][Si]([H])([H])[H],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,55,10.1016_j.rinp.2018.04.028_part_1.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,45,10.3390_polym12123006_part_2.txt_∂Œ1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[H][Si]([H])([H])[H],O=C([O-])[O-].[Ca+2],,,100,10.1016_j.conbuildmat.2019.116820_part_1.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,[*]CC(OC(O[*])=O)C,,,,37,10.1002_advs.202000649_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]NCCCCCCCCCCCC([*])=O,,,,40,10.1002_pen.25171_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,118.43,10.1002_pcr2.10010_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Si]=O,,,,89.51,10.1007_s00170-020-05570-w_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,C[N+](CCO)(CCO)[3H],,120.8,10.1002_app.32985_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,,95,10.1002_pc.22558_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],C(CC=O)CC=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,80,10.3390_polym12061364_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,60.4,10.1002_pc.25284_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,55,10.3390_polym12123006_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,,,126.14,10.3139_217.3286_part_2.txt_∂Œ1_Material1
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],O=S([CH3])[CH3],,,,100,10.1002_mame.201800029_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,C(CC=O)CC=O,,69.87,10.3390_ma11040640_part_1.txt_∂Œ1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,C(CC=O)CC=O,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,OCC(O)CO,,37.8,10.1016_j.fbio.2016.12.002_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(C)C[*],[C],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,60.5,10.1016_j.compositesb.2019.107717_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,111.7,10.1177_0040517517703600_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,,65,10.1016_j.foodres.2015.07.019_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,45.58,10.4028_www.scientific.net_msf.1010.142_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[H][Si]([H])([H])[H],O=C([O-])[O-].[Ca+2],,,75,10.1016_j.conbuildmat.2019.116820_part_1.txt_∂Œ1_Material2
[*]CC(C1=CC=CC=C1)[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(C1=CC=CC=C1)[*],,,94.4,10.1002_app.48329_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,[Ag+],[Zn]=O,,80,10.1016_j.ijbiomac.2015.02.016_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Si]=O,[H][Si]([H])([H])[H],,,147,10.1007_s10971-015-3781-6_part_1.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C(CCCCC(OCCCCO[*])=O)=O,,,,55,10.3389_fmats.2019.00275_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],[H][Si]([H])([H])[H],,78.78,10.4028_www.scientific.net_amr.941-944.266_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,158,10.1016_j.compscitech.2020.108370_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CCCC([*])C(OC)=O,,,,141,10.1002_vnl.21763_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Ti]=O,,,,144,10.4236_oalib.1104229_OA_part_2.txt_∂Œ1_Material1
[*]CC[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C1C=CC(O1)=O.C=C,,,147.3,10.1016_j.indcrop.2021.113638_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,55,10.3144_expresspolymlett.2015.42_part_2.txt_∂Œ1_Material1
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[Ag],,,,58.7,10.1016_j.measurement.2020.108406_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[C],,,,148,10.3390_ma10050545_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,FC(F)([*])C([H])([*])[H],,,,22,10.1016_j.colsurfa.2014.03.008_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CC)([*])C(OCC1=CC=CC=C1)=O,[*]CCCC([*])C(OC)=O,,,60,10.1021_acsami.5b01145_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,150,10.1007_s12221-021-0113-z_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C/C=C(C[*])\Cl,,,,149,10.1179_1743289811x12988633927952_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=[Si]=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[Ag],55,10.1016_j.progpolymsci.2013.05.014_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,55,10.1016_j.polymertesting.2014.04.001_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,C[Si](C)(C[*])O[*],C[Si](C)(C[*])O[*],47,10.1007_s11837-017-2572-7_part_2.txt_∂Œ1_Material1
[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C1C=CC(O1)=O.C=C,[*]C([H])([H])C(O)([H])[*],,50,10.1016_j.jobab.2021.02.007_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Si]=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,95,10.3390_polym12112600_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C([*])C(C)O[*],C=C(C(OCC1CO1)=O)C,,,55,10.1039_c6ra21208e_part_1.txt_∂Œ1_Material1
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,[Mg],,,,45,10.1016_j.ijpharm.2010.01.017_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,87,10.1016_j.polymertesting.2020.106380_part_6.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,114,10.1016_j.compstruct.2009.12.009_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,115.89,10.1002_pat.3333_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,C=C(C(OCC1CO1)=O)C,O=[Si]=O,C=C(C(OCC1CO1)=O)C,O=[Si]=O,112,10.1016_j.polymer.2013.05.033_part_1.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,,,95.6,10.1088_2053-1591_ab38e7_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,O=C=NCCCCCCN=C=O,,,87,10.3390_ma14010197_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,OCC(O)CO,,,60.18,10.3390_polym12091904_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([O-])[O-].[Ca+2],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,60,10.1007_s10973-016-5802-2_part_1.txt_∂Œ1_Material1
C/C(C[*])=C/C[*],O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,[C],55.55,10.4028_www.scientific.net_amr.335-336.762_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,57.6,10.1002_app.33981_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([O-])[O-].[Ca+2],O=C([O-])[O-].[Ca+2],,,55,10.1016_j.compositesa.2020.105827_part_1.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],COC(C(C[*])([*])C)=O,O=[Ti]=O,,,100,10.1021_mz400407m_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,C[N+](CCO)(CCO)[3H],,,60,10.3390_polym9080350_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],O=C([O-])[O-].[Ca+2],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,56.44,10.1007_s10924-010-0278-9_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CCCC([*])OC(C)=O,O=[Si]=O,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,60.7,10.1016_j.polymertesting.2020.106735_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],COC(C(C[*])([*])C)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,141,10.1002_app.36678_part_1.txt_∂Œ1_Material2
COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,63.3,10.1002_app.49864_part_3.txt_∂Œ1_Material2
[*]CC([*])Cl,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,,,,82,10.1016_j.aej.2019.08.003_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,,48.8,10.1002_marc.201600414_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CCN[*],,,,150,10.1021_acs.langmuir.1c00383_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCC[*],,,,57.7,10.1007_s11164-013-1256-3_part_2.txt_∂Œ1_Material1
