SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,160,10.1016_j.polymdegradstab.2019.02.019_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CC[*])O,,,,151.3,10.1021_bm301430j_part_2.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCC[*],,,173,10.1007_s10924-020-01881-x_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C=C([CH3])C(=O)OC([CH3])[CH3],,,,110,10.1007_s12221-014-1469-0_part_1.txt_∂Œ1_Material2
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC[*],,,,225,10.4028_www.scientific.net_amr.860-863.855_part_1.txt_∂Œ1_Material2
[*]CCC(CCCCCC)C[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,170.1,10.3390_polym10030291_part_2.txt_∂Œ1_Material3
[*]C(C)C[*],[*]CC(CC[*])O,,,,160,10.3390_polym13050705_part_3.txt_∂Œ1_Material3
[*]CC(C#N)[*],[*]C(CCCCCO[*])=O,,,,50,10.1007_s10924-013-0592-0_part_2.txt_∂Œ1_Material3
[*]CC(C1=CC=CC=C1)[*],C=C([CH3])C(=O)O[CH3],,,,220,10.1021_acs.macromol.9b01235_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],C[Si](C)(C[*])O[*],,,,214,10.4028_www.scientific.net_msf.1003.219_part_1.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,O=C([*])C(C)O[*],,,,180,10.1016_j.eurpolymj.2019.05.012_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,,,,114,10.1016_j.polymdegradstab.2020.109272_part_4.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,120,10.1007_s00289-021-03596-y_part_2.txt_∂Œ1_Material4
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,C[Si](C)(C[*])O[*],,,,90,10.1080_03602559.2016.1211691_part_8.txt_∂Œ1_Material2
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(CC[*])O,,,,145,10.1016_j.polymertesting.2019.106301_part_2.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,,228.5,10.1007_s10965-010-9510-5_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]CCC(CCCCCC)C[*],,,,160.8,10.1080_03602559.2013.812219_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,255,10.1007_s10924-021-02073-x_part_2.txt_∂Œ1_Material3
[*]NCCCCCCCCCCCC([*])=O,[*]CC(C1=CC=CC=C1)[*],,,,150,10.1016_j.polymer.2015.10.023_part_6.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,143.1,10.1016_j.matpr.2019.06.335_part_1.txt_∂Œ1_Material2
[*]C(C)C[*],[*]CC[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,,,164,10.1016_j.polymer.2020.123373_part_1.txt_∂Œ1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,191,10.1016_j.eurpolymj.2014.04.019_part_4.txt_∂Œ1_Material4
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C(CCCCCO[*])=O,,,,30,10.1021_acsami.5b10675_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,265,10.52547_jcc.3.3.3_OA_part_1.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=[Ti]=O,,,,221.3,10.1016_j.matpr.2018.01.134_part_2.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]C(CCCCCO[*])=O,,,,62,10.3390_ma6104489_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],[*]NCCCCCCCCCCCC([*])=O,,,,167.5,10.1002_pen.24631_part_1.txt_∂Œ1_Material2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,175,10.1021_acsomega.0c02765_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],,,161.2,10.1007_s10924-020-01933-2_part_2.txt_∂Œ1_Material3
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,218.3,10.1016_j.polymertesting.2014.03.006_part_1.txt_∂Œ1_Material1
[*]CCCCOCCCCOCCCCOCCCCO[*],[*]NCCCCCCCCCCCC([*])=O,,,,170,10.1016_j.polymer.2015.10.023_part_5.txt_∂Œ1_Material2
[*]O[Si](C)(C)[*],,,,,75,10.1016_j.polymer.2020.122962_part_2.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,,225.79,10.1080_03602559.2010.496426_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[Mg]=O,,,,62,10.1007_s12033-021-00311-0_part_4.txt_∂Œ1_Material4
[*]OCC[*],COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,55.6,10.1016_j.compositesb.2018.08.063_part_1.txt_∂Œ1_Material1
[*]CCCC([*])C(OC)=O,[*]C/C=C/CCC([*])C#N,,,,62,10.1515_chem-2017-0047_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]O[C@H](C)CC([*])=O,,,,223,10.1002_masy.201800170_part_1.txt_∂Œ1_Material2
[*]CC[*],O=[Al]O[Al]=O,,,,165,10.1016_j.polymertesting.2019.105897_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,225,10.1016_j.eurpolymj.2013.06.038_part_2.txt_∂Œ1_Material1
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,,,,,130,10.1088_1748-6041_8_3_035006_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,165,10.1021_ma5001354_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(OC(O[*])=O)C,,,,121.6,10.1007_s11814-017-0066-5_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,,,,58.7,10.1016_j.carbpol.2013.09.012_part_5.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,,231.15,10.3390_polym13050746_part_1.txt_∂Œ1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,135.6,10.1016_j.polymdegradstab.2013.10.019_part_1.txt_∂Œ1_Material4
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=[Si]=O,,,,150.8,10.1080_03602559.2017.1329439_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,,,68,10.3390_ma13081941_part_2.txt_∂Œ1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]NC(C(O)=O)CCC([*])=O,,,,221,10.3390_polym13030452_part_2.txt_∂Œ1_Material4
CC(C)[Si](C(C)C)(OS(=O)(C(F)(F)F)=O)C(C)C,[*]CC(C1=CC=CC=C1)C/C=C/C[*],,,,160,10.1155_2020_2381504_part_3.txt_∂Œ1_Material2
O=C(O)C([*])C[*],[*]OCC[*],,,,67.5,10.1515_epoly.2011.11.1.760_part_2.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,O=C([*])C(C)O[*],,,,149,10.1002_pi.3087_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,249.1,10.1002_pi.6213_part_1.txt_∂Œ1_Material1
[*]CC([*])CC,,,,,96.85000000000002,10.1016_j.polymer.2010.07.033_part_4.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,[*]CC([*])N1CCCC1=O,,,,140,10.4028_www.scientific.net_amr.1115.296_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,183.1,10.4028_www.scientific.net_amm.200.278_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,,,,113.9,10.1002_app.35351_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,CC(CO[*])[*],,,,108,10.1002_app.32585_part_1.txt_∂Œ1_Material2
O=C([*])CCCCCN[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,222.8,10.1080_14658011.2017.1418711_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C=O,,,149,10.1016_j.polymer.2016.12.054_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C([H])([H])C(O)([H])[*],,,,60,10.1007_s12033-021-00311-0_part_1.txt_∂Œ1_Material3
[*]C(CCCCCO[*])=O,Cl[Ca]Cl,,,,60,10.1021_co500033h_part_2.txt_∂Œ1_Material5
[*]C(CCCCCO[*])=O,[*]CCCCOCCCCOCCCCOCCCCO[*],,,,66.1,10.1007_s42452-019-1623-9_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CCCC(CCCCCC)[*],,,,222,10.1016_j.matlet.2014.03.186_part_1.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],,,,200,10.14233_ajchem.2015.19271_part_1.txt_∂Œ1_Material3
[*]OCC[*],[*]CC(C#N)[*],,,,35,10.1002_vnl.21576_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C1OC1C[N+]([CH3])([CH3])[CH3].[Cl-],,,,141.2,10.1016_j.ijbiomac.2019.10.246_part_3.txt_∂Œ1_Material3
O=C([*])C(C)O[*],CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,143.1,10.1016_j.ijbiomac.2019.10.246_part_3.txt_∂Œ1_Material2
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,250,10.1002_app.35205_part_1.txt_∂Œ1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,,,109.55,10.1016_j.ijbiomac.2014.06.039_part_2.txt_∂Œ1_Material6
FC(F)([*])C([H])([*])[H],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,,,171,10.1177_0954008316632366_part_1.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[Mg],,,,229,10.1177_0954008320943927_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCCCCCCC(NCCCCCCN[*])=O,,,,,234,10.1002_pen.24888_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],CCO[Si](OCC)(OCC)OCC,,,,150,10.1016_j.seppur.2011.07.020_part_2.txt_∂Œ1_Material4
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]O[C@H](C)CC([*])=O,,,,177,10.1080_10643389.2014.966422_part_1.txt_∂Œ1_Material1
[*]C1=CC=C([*])N1,,,,,130,10.1177_0883911520913905_part_3.txt_∂Œ1_Material4
[*]C(CCCCCO[*])=O,O=C(N)N,,,,47,10.1002_app.32929_part_2.txt_∂Œ1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,172,10.1002_app.46153_part_1.txt_∂Œ1_Material1
[*]C/C=C/CCC([*])C#N,[*]C(CCCCCO[*])=O,,,,60.6,10.1016_j.matdes.2019.108210_part_2.txt_∂Œ1_Material1
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,[*]C([H])([H])C(O)([H])[*],,,,229,10.1016_j.eurpolymj.2014.12.008_part_4.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[Mg]=O,,,,224.85,10.1080_09507116.2016.1223185_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]C(C)C[*],,,,218,10.1016_j.apsusc.2018.01.255_part_10.txt_∂Œ1_Material2
[*]OC(CC(OC(CC([*])=O)CC)=O)C,OP(O)(O)=O,,,,172,10.1002_app.46153_part_1.txt_∂Œ1_Material6
O=C(O[*])CCCCCCCCCCN[*],OP(O)(O)=O,,,,188,10.3390_ma12172833_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,223,10.1080_03602559.2016.1233280_part_6.txt_∂Œ1_Material3
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,,,282.5,10.1007_s00170-009-2507-8_part_2.txt_∂Œ1_Material4
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,,,253,10.1016_j.polymer.2015.07.059_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]NCCCCCCCCCCCC([*])=O,,,,179,10.1002_app.48440_part_1.txt_∂Œ1_Material5
[*]C(C(O[*])C)=O,,,,,170,10.1007_s10439-015-1455-8_part_1.txt_∂Œ1_Material3
[*]C(CCCCCO[*])=O,OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],,,,57,10.1007_s00396-020-04699-0_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,,,,118,10.1016_j.polymdegradstab.2010.01.006_part_1.txt_∂Œ1_Material1
[*]OCC[*],[*]CCCC(CCCCCC)[*],,,,89.85000000000002,10.3176_proc.2012.3.09_part_1.txt_∂Œ1_Material1
[*]CC(OC(O[*])=O)C,C=C([CH3])C(=O)O[CH3],,,,96.4,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material1
[*]CC(OC(O[*])=O)C,[*]C(C[*])C(N(C)C)=O,,,,96.4,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material5
[*]CC(O[*])CN=[N+]=[N-],[*]C(CCCCCO[*])=O,,,,43,10.1007_s13233-010-1104-x_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,121.3,10.3390_polym12071502_part_3.txt_∂Œ1_Material2
[*]C(CCCCCO[*])=O,[*]CC(C#N)[*],,,,58,10.3390_ma13030512_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,,,,149.2,10.1515_polyeng-2018-0256_part_1.txt_∂Œ1_Material3
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,282.5,10.1007_s00170-009-2507-8_part_2.txt_∂Œ1_Material3
O=C([*])CCCCCN[*],COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,218,10.1002_app.42963_part_1.txt_∂Œ1_Material3
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,160,10.1142_s179329202050085x_part_1.txt_∂Œ1_Material3
[*]C(C)C[*],C=C([CH3])C(=O)O[CH3],,,,160,10.1002_app.39037_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O,,,,122,10.1111_1750-3841.13653_part_1.txt_∂Œ1_Material2
[*]CC(OC(O[*])=O)C,[*]CC(C1=CC=CC=C1)[*],,,,95.1,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material4
[*]C(CCCCCO[*])=O,C/C(C[*])=C/C[*],,,,56.5,10.1007_s10853-013-7667-0_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,,60,10.3390_ma13173853_part_1.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C([*])C(C)O[*],,,,120,10.1007_s00289-021-03596-y_part_2.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],[*]CC[*],,,,114.67,10.29196_jub.v26i3.621_OA_part_2.txt_∂Œ1_Material2
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,,,,345,10.1016_j.triboint.2018.08.001_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CCCC([*])C(OC)=O,,,,246,10.1002_pen.24982_part_1.txt_∂Œ1_Material2
[*]C(CCCCCO[*])=O,[*]CC[*],,,,60,10.3390_polym11111874_part_1.txt_∂Œ1_Material1
[*]NC(C(O)=O)CCC([*])=O,O=C([*])C(C)O[*],,,,154.3,10.3390_polym13010029_part_2.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,,,160,10.1021_acs.macromol.9b02587_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],CC(CO[*])[*],,,,162.3,10.1016_j.clay.2011.02.021_part_2.txt_∂Œ1_Material4
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,,,,,195,10.3390_polym13040525_part_1.txt_∂Œ1_Material1
[*]OCC[*],[*]CC([*])N1CCCC1=O,,,,69,10.1002_app.46403_part_1.txt_∂Œ1_Material1
CC(C)[Si](C(C)C)(OS(=O)(C(F)(F)F)=O)C(C)C,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,70,10.1515_rams-2022-0265_OA_part_3.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,253,10.1016_j.jmrt.2021.05.020_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C(OCC1CO1)=O)C,,,,246,10.1002_pen.24982_part_1.txt_∂Œ1_Material1
FC(F)([*])C([H])([*])[H],O=C([*])CCCCCN[*],,,,165,10.1002_app.43499_part_1.txt_∂Œ1_Material1
O=C(CCCCCCCCCCC(NCCCCCCCCCCN[*])=O)[*],,,,,177,10.1108_rpj-09-2018-0258_part_1.txt_∂Œ1_Material1
[*]CCC1C([*])C2CCC1C2,,,,,127,10.1016_j.polymertesting.2020.106635_part_3.txt_∂Œ1_Material1
OP(O)(O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,88.1,10.1002_pen.23966_part_2.txt_∂Œ1_Material1
CC(C=C([*])C=C1C)=C1O[*],,,,,220,10.1039_c3py00005b_part_1.txt_∂Œ1_Material9
CC(C=C([*])C=C1C)=C1O[*],[*]CC(C1=CC=CC=C1)[*],,,,225,10.1007_s00170-009-2507-8_part_1.txt_∂Œ1_Material4
O=C([*])C(C)O[*],O=C=O,,,,157,10.3390_compounds1020007_part_1.txt_∂Œ1_Material1
[*]CC(C(OCC)=O)[*],,,,,127.7,10.1021_acs.iecr.9b01733_part_6.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[Ag],,,,106.2,10.1002_adfm.201101985_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCC[*],O=C([*])C(C)O[*],[*]OCC[*],,145,10.1002_app.41030_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1=C(O)C(C(C)(C)C)=C(O)C(C)=C1SS[*],,,,147.41,10.1002_app.43340_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*],,,,147.41,10.1002_app.43340_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]CCCC(CCCCCC)[*],,,,147.41,10.1002_app.43340_part_2.txt_∂Œ1_Material3
O=C([*])C(C)O[*],C=C(C(OCC1CO1)=O)C,[*]CCCC([*])C(OC)=O,,,151.5,10.1002_app.47682_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[Ag],[Cu]=O,,180,10.1002_mame.202000244_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],[Ag],[Cu]=O,,178,10.1002_mame.202000244_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,168.6,10.1002_mame.202000576_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,CC1=CC=C(C=C1N=C=O)N=C=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,165.05,10.1002_pat.3506_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,150,10.1002_pat.4274_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[H][O-],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]CC(C1=CC=CC=C1)[*],,150,10.1002_pc.21165_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[H][O-],[*]CC(C1=CC=CC=C1)[*],,,146.19,10.1002_pc.21165_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C/C=C(C[*])\Cl,,,150,10.1002_pc.24122_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,,164.3,10.1002_pc.25144_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,C1OC1C[N+]([CH3])([CH3])[CH3].[Cl-],,170,10.1002_pen.25560_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,170.9,10.1002_ppap.201500218_part_1.txt_∂Œ1_Material1
